metric,related_condition,treatment_recommendation,medication_name,prevention_tips,question,answer,normal_range,category,query,advice,dosage,common_side_effects,severity,disease_association,symptom,drug_interactions,disease
 blurry vision,Diabetes,Regular physical activity, Metformin,Limit sugar intake,What are the symptoms of diabetes?,"Frequent urination, increased thirst, extreme fatigue, blurry vision",,FAQ,,,,,Moderate,Diabetes,Fatigue,,Diabetes
Hypertension,Exercise regularly, Lisinopril,Limit salt intake,How can I reduce blood pressure?,"Exercise regularly, reduce salt intake, manage stress",120/80 mmHg,FAQ,,,,,,High,Hypertension,Headaches,,Hypertension
Asthma,Inhalers, bronchodilators,Avoid allergens,What are the symptoms of asthma?,"Wheezing, chest tightness, coughing, especially at night","This is a placeholder enriched answer for: Wheezing, chest tightness, coughing, especially at night",FAQ,,,,,High,Asthma,Coughing,,Asthma,
Rest, hydration, Avoid triggers,Limit bright lights,What are migraine symptoms?,"Throbbing headache, nausea, light sensitivity","This is a placeholder enriched answer for: Throbbing headache, nausea, light sensitivity",FAQ,,,,,Moderate,Migraine,Headache,,Migraine,
Arthritis,Anti-inflammatory medications, physical therapy,Weight-bearing exercise,What are the symptoms of arthritis?,"Joint pain, swelling, stiffness, reduced range of motion","This is a placeholder enriched answer for: Joint pain, swelling, stiffness, reduced range of motion",FAQ,,,,,Moderate,Arthritis,Stiffness,,Arthritis,
,500mg daily,Stomach pain,Medication,To be added,What are the benefits of eating fruits?,"Fruits are rich in vitamins, minerals, fiber, and antioxidants, which help boost immunity and overall health.",Avoid excessive alcohol consumption,Diabetes,,,,,,,,,
,10mg daily,Dizziness,Medication,To be added,How much protein do I need daily?,The recommended daily protein intake is about 0.8 grams per kilogram of body weight for an average adult.,Avoid potassium supplements,Hypertension,,,,,,,,,
,90mcg inhalation,Tremors,Medication,To be added,What are good sources of fiber,"Foods like whole grains, fruits, vegetables, beans, and nuts are excellent sources of fiber.s is a placeholder enriched answer for: To be added",Avoid beta blockers,Asthma,,,,,,,,,
,81mg,Bleeding risk,Medication,To be added,What are healthy fats?,"Healthy fats include those found in avocados, nuts, seeds, olive oil, and fatty fish like salmon.",Avoid with other blood thinners,Heart Disease,,,,,,,,,
Exercise regularly,Maintain a healthy weight,Drink at least 8 cups of water daily,Reduce salt intake,Exercise regularly,What vitamins are important for the body?,"Vitamins like A, B, C, D, E, and K are essential for various body functions, including immunity and bone health.",,,,,,,,,,,
Obesity,Hypertension,To be added,Eating balanced meals and avoiding processed foods,To be added,Symptoms: Nausea, dizziness,,Food alternatives: Fried food: Baked or grilled food,,,,,,,,,
Allergic Reaction,Antihistamine cream, Avoid allergens,Avoid triggers,What are the symptoms of an allergic reaction?,"Red, itchy rash, swelling","This is a placeholder enriched answer for: Red, itchy rash, swelling",,FAQ,,,High,Allergic Reaction,Rash,,Allergic Reaction,,
